continentName,countryName,provinceName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,updateTime
亚洲,中国,湖北省,22112,0.0,867,618,2020-02-07 00:00:00
亚洲,中国,湖北省,19665,0.0,712,549,2020-02-06 00:00:00
亚洲,中国,湖北省,16678,0.0,536,479,2020-02-05 00:00:00
亚洲,中国,湖北省,13522,0.0,397,414,2020-02-04 00:00:00
亚洲,中国,湖北省,11177,0.0,300,350,2020-02-03 00:00:00
亚洲,中国,湖北省,9074,0.0,267,294,2020-02-02 00:00:00
亚洲,中国,湖北省,7153,0.0,168,249,2020-02-01 00:00:00
亚洲,中国,湖北省,5806,0.0,141,204,2020-01-31 00:00:00
亚洲,中国,湖北省,4903,0.0,90,162,2020-01-30 00:00:00
亚洲,中国,湖北省,3554,0.0,87,125,2020-01-29 00:00:00
亚洲,中国,湖北省,2714,0.0,52,100,2020-01-28 00:00:00
亚洲,中国,湖北省,1423,0.0,47,76,2020-01-27 00:00:00
亚洲,中国,湖北省,1058,0.0,42,52,2020-01-26 00:00:00
亚洲,中国,湖北省,730,0.0,32,39,2020-01-25 00:00:00
亚洲,中国,湖北省,549,0.0,31,24,2020-01-24 00:00:00
亚洲,中国,湖北省,444,nan,28,17,2020-01-22 00:00:00
